rank,prev_rank,name,league,off,def,spi
318,318,Vissel Kobe,Japanese J League,1.6,1.94,39.43
319,319,Puebla,Mexican Primera Division Torneo Apertura,1.17,1.44,39.42
320,314,Botafogo,Brasileiro Série A,1.03,1.27,39.41
321,321,FC Tokyo,Japanese J League,0.98,1.21,39.39
322,342,Hannover 96,German 2. Bundesliga,1.23,1.52,39.19
323,329,Belenenses,Portuguese Liga,1.08,1.34,39.17
324,338,Panathinaikos,Greek Super League,1.01,1.26,39.16
325,324,Sparta,Dutch Eredivisie,1.27,1.58,38.96
326,325,ADO Den Haag,Dutch Eredivisie,1.36,1.69,38.71
327,352,Kaizer Chiefs,South African ABSA Premier League,1.11,1.4,38.7
328,328,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
329,323,Desportivo Aves,Portuguese Liga,1.11,1.4,38.65
330,331,Henan Jianye,Chinese Super League,1.25,1.57,38.55
331,332,Minnesota United FC,Major League Soccer,1.25,1.58,38.54
332,353,Hartberg,Austrian T-Mobile Bundesliga,1.52,1.9,38.41
333,366,Real Zaragoza,Spanish Segunda Division,1.13,1.45,38.31
334,336,Perth Glory,Australian A-League,1.23,1.56,38.29
335,350,Maritimo,Portuguese Liga,1.06,1.36,38.26
336,330,KV Mechelen,Belgian Jupiler League,1.22,1.55,38.26
337,335,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
338,327,KV Kortrijk,Belgian Jupiler League,1.25,1.6,38.09
339,311,St. Truidense,Belgian Jupiler League,1.23,1.58,37.91
340,365,Genclerbirligi,Turkish Turkcell Super Lig,1.29,1.67,37.65
341,339,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
342,340,New England Revolution,Major League Soccer,1.36,1.76,37.58
343,326,FC Sion,Swiss Raiffeisen Super League,1.34,1.73,37.55
344,333,Huracán,Argentina Primera Division,0.89,1.18,37.53
345,344,Toluca,Mexican Primera Division Torneo Apertura,1.09,1.43,37.46
346,345,Troyes,French Ligue 2,0.95,1.26,37.45
347,347,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
348,348,Columbus Crew,Major League Soccer,1.12,1.47,37.36
349,349,Atlas,Mexican Primera Division Torneo Apertura,1.07,1.42,37.32
350,315,Aberdeen,Scottish Premiership,1.15,1.52,37.3
351,351,FC Luzern,Swiss Raiffeisen Super League,1.2,1.58,37.12
352,354,Real Salt Lake,Major League Soccer,1.01,1.36,36.98
353,346,Konyaspor,Turkish Turkcell Super Lig,0.98,1.32,36.97
354,356,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
355,309,SD Huesca,Spanish Segunda Division,0.97,1.32,36.82
356,357,Málaga,Spanish Segunda Division,0.85,1.17,36.75
357,359,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
358,361,Holstein Kiel,German 2. Bundesliga,1.3,1.73,36.57
359,334,FC Twente,Dutch Eredivisie,1.29,1.74,36.26
360,383,Benevento,Italy Serie B,0.98,1.36,36.26
361,355,Le Havre,French Ligue 2,1.09,1.5,36.21
362,320,Caykur Rizespor,Turkish Turkcell Super Lig,1.15,1.58,36.19
363,337,Charlton Athletic,English League Championship,1.13,1.55,36.06
364,364,IFK Goteborg,Swedish Allsvenskan,1.1,1.52,36.01
365,360,Patronato,Argentina Primera Division,1.03,1.44,35.85
366,367,CSA,Brasileiro Série A,1.03,1.44,35.79
367,375,SV Sandhausen,German 2. Bundesliga,1.14,1.59,35.73
368,363,1. FC Nürnberg,German 2. Bundesliga,1.15,1.61,35.64
369,372,Mamelodi Sundowns,South African ABSA Premier League,1.0,1.42,35.49
370,371,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.13,1.58,35.48
371,370,Luton Town,English League Championship,1.18,1.65,35.48
372,368,Viking FK,Norwegian Tippeligaen,1.31,1.81,35.41
373,381,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
374,393,Frosinone,Italy Serie B,1.01,1.45,35.14
375,382,Denizlispor,Turkish Turkcell Super Lig,0.98,1.41,35.11
376,379,Elche,Spanish Segunda Division,1.03,1.48,35.06
377,374,DC United,Major League Soccer,1.14,1.62,35.05
378,377,Houston Dynamo,Major League Soccer,1.23,1.74,34.92
379,380,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
380,373,1. FC Heidenheim 1846,German 2. Bundesliga,1.05,1.52,34.75
381,385,Larissa,Greek Super League,0.92,1.36,34.68
382,378,Jahn Regensburg,German 2. Bundesliga,1.25,1.79,34.66
383,369,PEC Zwolle,Dutch Eredivisie,1.3,1.85,34.63
384,376,Asteras Tripolis,Greek Super League,0.86,1.29,34.44
385,358,Oxford United,English League One,1.13,1.64,34.35
386,406,Las Palmas,Spanish Segunda Division,1.01,1.49,34.33
387,386,Fuenlabrada,Spanish Segunda Division,0.99,1.47,34.11
388,387,Real Monarchs SLC,United Soccer League,1.46,2.08,34.09
389,388,Melbourne City,Australian A-League,1.18,1.73,34.02
390,391,Motherwell,Scottish Premiership,1.15,1.69,33.92
391,389,Haugesund,Norwegian Tippeligaen,1.1,1.63,33.89
392,392,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
393,384,Caen,French Ligue 2,1.03,1.55,33.7
394,394,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.0,1.51,33.68
395,395,Orlando City SC,Major League Soccer,1.22,1.79,33.65
396,396,FC Juárez,Mexican Primera Division Torneo Apertura,0.98,1.5,33.51
397,397,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
398,401,Sporting Gijón,Spanish Segunda Division,0.81,1.27,33.49
399,398,Consadole Sapporo,Japanese J League,1.15,1.72,33.38
400,390,Crotone,Italy Serie B,1.0,1.53,33.36
401,428,Hibernian,Scottish Premiership,1.16,1.73,33.34
402,405,Bidvest Wits,South African ABSA Premier League,0.97,1.49,33.27
403,407,Aldosivi,Argentina Primera Division,0.87,1.37,32.87
404,408,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
405,409,Colon Santa Fe,Argentina Primera Division,0.93,1.48,32.54
406,413,Avaí,Brasileiro Série A,0.87,1.4,32.37
407,412,Real Oviedo,Spanish Segunda Division,1.02,1.6,32.34
408,414,Neuchatel Xamax,Swiss Raiffeisen Super League,1.11,1.74,32.25
409,418,VfL Osnabruck,German 2. Bundesliga,1.02,1.61,32.15
410,410,Lamia,Greek Super League,0.83,1.37,31.99
411,416,Pittsburgh Riverhounds,United Soccer League,0.97,1.56,31.99
412,424,SD Ponferradina,Spanish Segunda Division,0.93,1.5,31.98
413,417,Nashville SC,United Soccer League,0.94,1.52,31.95
414,425,Numancia,Spanish Segunda Division,0.8,1.34,31.86
415,419,Montreal Impact,Major League Soccer,1.11,1.76,31.83
416,456,SpVgg Greuther Fürth,German 2. Bundesliga,1.02,1.63,31.82
417,415,Orlando Pirates,South African ABSA Premier League,1.02,1.64,31.73
418,420,Louisville City FC,United Soccer League,1.17,1.84,31.7
419,430,Clermont Foot,French Ligue 2,0.88,1.45,31.64
420,404,Emmen,Dutch Eredivisie,1.14,1.8,31.63
421,400,VfL Bochum,German 2. Bundesliga,1.15,1.82,31.56
422,402,Ipswich Town,English League One,0.95,1.56,31.41
423,403,Sunderland,English League One,0.98,1.61,31.23
424,434,AS Nancy Lorraine,French Ligue 2,0.83,1.42,31.0
425,429,Peterborough United,English League One,1.17,1.89,30.99
426,422,Esbjerg,Danish SAS-Ligaen,0.98,1.63,30.98
427,423,KV Oostende,Belgian Jupiler League,1.04,1.71,30.95
428,432,FC St. Pauli,German 2. Bundesliga,0.98,1.63,30.93
429,435,Eupen,Belgian Jupiler League,0.92,1.56,30.72
430,427,AC Ajaccio,French Ligue 2,0.73,1.29,30.67
431,433,Stabaek,Norwegian Tippeligaen,0.95,1.61,30.54
432,431,Antalyaspor,Turkish Turkcell Super Lig,0.99,1.67,30.53
433,426,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.12,1.85,30.5
434,436,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
435,438,Kristiansund BK,Norwegian Tippeligaen,1.08,1.81,30.19
436,440,IF Elfsborg,Swedish Allsvenskan,1.07,1.8,30.15
437,439,SV Darmstadt 98,German 2. Bundesliga,0.92,1.59,30.13
438,441,Hobro IK,Danish SAS-Ligaen,0.89,1.55,30.12
439,421,Karlsruher SC,German 2. Bundesliga,1.13,1.89,30.08
440,450,Sonderjyske,Danish SAS-Ligaen,1.05,1.77,30.02
441,411,Chievo Verona,Italy Serie B,0.95,1.64,29.97
442,458,Lyngby,Danish SAS-Ligaen,1.03,1.77,29.79
443,445,Albacete,Spanish Segunda Division,0.72,1.33,29.68
444,459,Kayserispor,Turkish Turkcell Super Lig,1.03,1.77,29.67
445,465,Mirandes,Spanish Segunda Division,0.95,1.66,29.62
446,399,Kilmarnock,Scottish Premiership,0.8,1.45,29.6
447,447,Vegalta Sendai,Japanese J League,0.88,1.57,29.56
448,466,Newcastle Jets,Australian A-League,1.12,1.91,29.43
449,443,Tenerife,Spanish Segunda Division,0.83,1.5,29.37
450,444,Adelaide United,Australian A-League,1.1,1.88,29.35
451,449,Empoli,Italy Serie B,1.0,1.76,29.22
452,455,Odd BK,Norwegian Tippeligaen,1.04,1.81,29.21
453,448,Western United,Australian A-League,0.98,1.73,29.09
454,442,Racing Santander,Spanish Segunda Division,0.87,1.59,28.99
455,452,Godoy Cruz,Argentina Primera Division,0.94,1.7,28.81
456,446,SV Mattersburg,Austrian T-Mobile Bundesliga,1.12,1.95,28.77
457,437,RKC,Dutch Eredivisie,1.15,1.99,28.75
458,463,Tampa Bay Rowdies,United Soccer League,1.0,1.79,28.71
459,460,Sochaux,French Ligue 2,0.73,1.4,28.69
460,462,Auxerre,French Ligue 2,0.79,1.49,28.55
461,451,Thun,Swiss Raiffeisen Super League,1.11,1.95,28.44
462,468,Urawa Red Diamonds,Japanese J League,0.96,1.74,28.44
463,473,Grenoble,French Ligue 2,0.75,1.46,28.17
464,474,Cittadella,Italy Serie B,0.84,1.59,28.16
465,483,Wellington Phoenix,Australian A-League,1.14,2.01,28.15
466,479,Ankaragucu,Turkish Turkcell Super Lig,0.96,1.77,28.06
467,469,Nagoya Grampus Eight,Japanese J League,1.01,1.84,28.06
468,464,Melbourne Victory,Australian A-League,1.07,1.92,28.03
469,457,FC Xanthi,Greek Super League,0.68,1.37,27.96
470,470,Volos NFC,Greek Super League,0.9,1.69,27.93
471,472,Reno 1868 FC,United Soccer League,1.14,2.04,27.93
472,478,Valenciennes,French Ligue 2,0.74,1.46,27.88
473,461,Fortuna Sittard,Dutch Eredivisie,1.24,2.18,27.78
474,482,VVV Venlo,Dutch Eredivisie,1.14,2.04,27.7
475,484,AD Alcorcon,Spanish Segunda Division,0.7,1.44,27.21
476,491,Silkeborg,Danish SAS-Ligaen,1.12,2.05,27.17
477,475,Dynamo Dresden,German 2. Bundesliga,0.9,1.74,27.14
478,481,Lugo,Spanish Segunda Division,0.79,1.58,27.0
479,453,Portsmouth,English League One,0.96,1.83,26.97
480,454,Rotherham United,English League One,0.91,1.77,26.88
481,485,Stromsgodset,Norwegian Tippeligaen,1.11,2.06,26.86
482,486,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
483,480,Waasland-Beveren,Belgian Jupiler League,0.98,1.88,26.71
484,476,Erzgebirge Aue,German 2. Bundesliga,0.92,1.8,26.64
485,515,Livingston,Scottish Premiership,0.94,1.83,26.58
486,488,Valerenga,Norwegian Tippeligaen,0.92,1.81,26.34
487,489,Extremadura UD,Spanish Segunda Division,0.7,1.49,26.32
488,492,Shimizu S-Pulse,Japanese J League,1.07,2.03,26.23
489,494,SuperSport United,South African ABSA Premier League,0.72,1.53,26.16
490,467,Deportivo La Coruña,Spanish Segunda Division,0.74,1.57,26.09
491,471,St. Pölten,Austrian T-Mobile Bundesliga,0.96,1.89,26.06
492,498,Perugia,Italy Serie B,0.87,1.77,25.83
493,497,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.06,2.06,25.82
494,493,Spezia,Italy Serie B,0.77,1.63,25.7
495,477,Panionios,Greek Super League,0.8,1.69,25.54
496,518,Blackpool,English League One,0.83,1.75,25.32
497,510,Rodez,French Ligue 2,0.82,1.74,25.27
498,514,Wycombe Wanderers,English League One,0.72,1.59,25.14
499,490,Cercle Brugge,Belgian Jupiler League,0.99,2.0,25.13
500,487,Black Aces,South African ABSA Premier League,0.86,1.81,25.07
501,500,Oita Trinita,Japanese J League,0.65,1.48,25.06
502,502,New York Red Bulls II,United Soccer League,1.2,2.31,25.01
503,505,Veracruz,Mexican Primera Division Torneo Apertura,0.87,1.83,24.89
504,503,SV Wehen Wiesbaden,German 2. Bundesliga,0.89,1.87,24.77
505,504,Chateauroux,French Ligue 2,0.65,1.5,24.68
506,508,SK Brann,Norwegian Tippeligaen,0.74,1.65,24.63
507,519,Bloem Celtic,South African ABSA Premier League,0.8,1.75,24.43
508,511,GIF Sundsvall,Swedish Allsvenskan,0.88,1.88,24.39
509,507,Western Sydney FC,Australian A-League,0.96,2.01,24.37
510,495,Doncaster Rovers,English League One,0.85,1.84,24.37
511,512,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
512,513,Sagan Tosu,Japanese J League,0.74,1.69,24.05
513,509,Paris FC,French Ligue 2,0.57,1.43,23.92
514,528,Virtus Entella,Italy Serie B,0.73,1.68,23.88
515,517,AC Horsens,Danish SAS-Ligaen,0.76,1.73,23.77
516,501,Fleetwood Town,English League One,0.86,1.89,23.61
517,499,US Pescara,Italy Serie B,0.81,1.84,23.28
518,520,North Carolina FC,United Soccer League,0.96,2.08,23.23
519,521,Orebro SK,Swedish Allsvenskan,0.95,2.07,23.22
520,522,Pordenone Calcio,Italy Serie B,0.77,1.79,23.2
521,523,Orange County SC,United Soccer League,0.9,2.0,23.11
522,506,Hearts,Scottish Premiership,0.76,1.79,23.03
523,527,Cremonese,Italy Serie B,0.62,1.57,22.96
524,524,Sarpsborg,Norwegian Tippeligaen,0.72,1.73,22.96
525,525,Indy Eleven,United Soccer League,0.64,1.61,22.77
526,531,Brisbane Roar,Australian A-League,0.97,2.13,22.75
527,526,Cosenza,Italy Serie B,0.7,1.71,22.74
528,532,Le Mans,French Ligue 2,0.84,1.93,22.68
529,516,Panetolikos,Greek Super League,0.72,1.75,22.65
530,496,Burton Albion,English League One,0.73,1.78,22.37
531,530,Shonan Bellmare,Japanese J League,0.86,1.99,22.29
532,540,Ross County,Scottish Premiership,0.86,2.0,22.09
533,550,Bristol Rovers,English League One,0.81,1.92,22.07
534,535,IK Sirius,Swedish Allsvenskan,0.84,1.98,22.06
535,536,Tromso,Norwegian Tippeligaen,1.0,2.23,22.0
536,545,F.B.C Unione Venezia,Italy Serie B,0.66,1.71,21.75
537,534,Orléans,French Ligue 2,0.77,1.88,21.75
538,529,Ascoli,Italy Serie B,0.72,1.82,21.69
539,538,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
540,539,San Antonio FC,United Soccer League,1.07,2.38,21.61
541,533,Coventry City,English League One,0.7,1.79,21.57
542,537,Niort,French Ligue 2,0.61,1.65,21.37
543,547,Chambly Thelle FC,French Ligue 2,0.69,1.8,21.24
544,544,Salernitana,Italy Serie B,0.7,1.81,21.17
545,542,Mjondalen,Norwegian Tippeligaen,0.84,2.05,21.08
546,543,Östersunds FK,Swedish Allsvenskan,0.8,2.0,20.9
547,546,Highlands Park FC,South African ABSA Premier League,0.56,1.61,20.49
548,548,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
549,549,Sacramento Republic FC,United Soccer League,0.75,1.96,20.27
550,541,Livorno,Italy Serie B,0.66,1.81,20.24
551,551,LA Galaxy II,United Soccer League,0.97,2.34,20.0
552,570,Accrington Stanley,English League One,0.73,1.95,19.87
553,568,Swindon Town,English League Two,0.72,1.94,19.84
554,552,Austin Bold FC,United Soccer League,0.78,2.05,19.79
555,553,Ranheim,Norwegian Tippeligaen,0.87,2.19,19.77
556,554,Fresno FC,United Soccer League,0.86,2.18,19.74
557,555,El Paso Locomotive FC,United Soccer League,0.6,1.76,19.57
558,565,Lincoln City,English League One,0.61,1.77,19.53
559,556,Helsingborgs IF,Swedish Allsvenskan,0.67,1.9,19.47
560,557,Lillestrom,Norwegian Tippeligaen,0.71,1.96,19.42
561,566,St Mirren,Scottish Premiership,0.67,1.92,18.91
562,562,Gillingham,English League One,0.58,1.79,18.67
563,558,Bradford City,English League Two,0.62,1.87,18.6
564,563,Maritzburg Utd,South African ABSA Premier League,0.4,1.48,18.46
565,560,Pisa,Italy Serie B,0.65,1.95,18.25
566,574,Scunthorpe,English League Two,0.7,2.06,18.01
567,571,St Johnstone,Scottish Premiership,0.62,1.91,17.95
568,572,Juve Stabia,Italy Serie B,0.62,1.92,17.91
569,561,Golden Arrows,South African ABSA Premier League,0.5,1.71,17.79
570,564,New Mexico United,United Soccer League,0.82,2.29,17.79
571,559,Hamilton Academical,Scottish Premiership,0.66,2.01,17.67
572,569,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
573,576,Milton Keynes Dons,English League One,0.61,1.94,17.43
574,575,Shrewsbury Town,English League One,0.5,1.74,17.41
575,573,Charleston Battery,United Soccer League,0.59,1.94,16.89
576,582,Cheltenham Town,English League Two,0.6,1.97,16.86
577,567,Polokwane City FC,South African ABSA Premier League,0.53,1.86,16.64
578,577,Trapani,Italy Serie B,0.59,1.99,16.54
579,581,Chippa United,South African ABSA Premier League,0.36,1.54,16.36
580,578,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
581,579,Loudoun United FC,United Soccer League,0.95,2.65,16.21
582,580,Ottawa Fury FC,United Soccer League,0.59,2.01,16.19
583,585,Central Coast Mariners,Australian A-League,0.7,2.27,15.69
584,583,Northampton Town,English League Two,0.62,2.12,15.66
585,584,Plymouth Argyle,English League Two,0.56,2.02,15.38
586,590,AFC Wimbledon,English League One,0.55,2.0,15.37
587,596,Exeter City,English League Two,0.5,1.94,15.12
588,586,AmaZulu,South African ABSA Premier League,0.36,1.69,14.7
589,591,Charlotte Independence,United Soccer League,0.6,2.19,14.44
590,599,Baroka FC,South African ABSA Premier League,0.33,1.64,14.39
591,592,Kalmar FF,Swedish Allsvenskan,0.47,1.95,14.35
592,589,Crewe Alexandra,English League Two,0.58,2.17,14.3
593,594,Vasby United,Swedish Allsvenskan,0.49,1.99,14.3
594,587,Tranmere Rovers,English League One,0.56,2.15,14.19
595,595,Saint Louis FC,United Soccer League,0.45,1.94,13.98
596,593,Black Leopards,South African ABSA Premier League,0.45,1.94,13.94
597,597,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
598,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
599,602,Colchester United,English League Two,0.46,1.99,13.75
600,601,Falkenbergs FF,Swedish Allsvenskan,0.57,2.24,13.42
601,588,Forest Green Rovers,English League Two,0.34,1.84,12.53
602,605,Rochdale,English League One,0.48,2.18,12.2
603,600,Mansfield Town,English League Two,0.47,2.18,12.06
604,603,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
605,607,Hartford Athletic,United Soccer League,0.78,2.88,11.42
606,608,Stellenbosch FC,South African ABSA Premier League,0.33,2.01,10.74
607,604,Oldham Athletic,English League Two,0.41,2.22,10.6
608,609,Bolton,English League One,0.45,2.36,10.27
609,606,Salford City,English League Two,0.38,2.21,10.13
610,610,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
611,611,Birmingham Legion FC,United Soccer League,0.39,2.26,9.95
612,613,Southend United,English League One,0.61,2.75,9.92
613,612,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
614,614,Atlanta United 2,United Soccer League,0.62,2.88,9.09
615,615,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
616,616,Newport County,English League Two,0.2,1.9,9.0
617,617,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
618,618,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
619,620,Cambridge United,English League Two,0.22,2.01,8.5
620,619,Leyton Orient,English League Two,0.37,2.44,8.22
621,621,Stevenage,English League Two,0.2,2.02,8.12
622,622,Port Vale,English League Two,0.2,2.15,7.28
623,625,Grimsby Town,English League Two,0.2,2.17,7.11
624,626,Macclesfield,English League Two,0.2,2.18,7.06
625,627,Walsall,English League Two,0.2,2.2,6.97
626,623,Crawley Town,English League Two,0.26,2.39,6.87
627,624,Carlisle United,English League Two,0.24,2.33,6.86
628,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
629,629,Morecambe,English League Two,0.2,2.54,5.18
